x,y,yaw,dir
10.1881,-19.1454,-2.9649,1
10.0404,-19.1718,-2.9649,1
9.9028,-19.1881,-2.9649,1
9.7943,-19.2157,-2.9649,1
9.6467,-19.2421,-2.9649,1
9.4990,-19.2685,-2.9649,1
9.3513,-19.2948,-2.9649,1
9.2137,-19.3112,-2.9649,1
9.1052,-19.3388,-2.9649,1
8.9576,-19.3652,-2.9649,1
8.8099,-19.3915,-2.9649,1
8.6622,-19.4179,-2.9649,1
8.5146,-19.4443,-2.9649,1
8.3669,-19.4707,-2.9649,1
8.2192,-19.4970,-2.9649,1
8.0716,-19.5234,-2.9649,1
7.9239,-19.5498,-2.9649,1
7.7763,-19.5761,-2.9649,1
7.6286,-19.6025,-2.9649,1
7.4809,-19.6289,-2.9649,1
7.3333,-19.6553,-2.9649,1
7.1856,-19.6816,-2.9649,1
7.0379,-19.7079,-2.9705,1
6.8996,-19.7305,-3.0171,1
6.7505,-19.7337,-3.1202,1
6.6107,-19.7024,3.0303,1
6.5120,-19.6703,2.9395,1
6.4051,-19.6173,2.8494,1
6.3209,-19.5528,2.7648,1
6.2299,-19.4776,2.6755,1
6.1430,-19.4014,2.5960,1
6.0391,-19.2914,2.5214,1
5.9397,-19.1953,2.5035,1
5.8402,-19.1146,2.4972,1
5.7416,-19.0327,2.5060,1
5.6616,-18.9727,2.5093,1
5.5406,-18.8840,2.5092,1
5.4196,-18.7954,2.5092,1
